city_name,lat,temp,humid,cloud,wind_speed
manturovo,58.33,256.129,81,8,2.76
wukari,7.87,302.429,43,0,4.81
ishigaki,24.34,294.629,100,68,5.96
tarija,-21.53,291.15,72,90,5.1
simao,22.76,288.104,67,0,1.31
duiwelskloof,-23.69,292.329,89,0,1.76
pulandian,39.4,272.15,50,0,1
cidreira,-30.17,295.554,85,92,4.66
sanand,22.99,296.15,40,0,3.91
choya,52.01,262.079,66,0,1.26
tortoli,39.93,286.15,47,40,6.7
ust-nera,64.57,243.954,53,24,0.96
den helder,52.96,275.92,95,20,1.5
dhule,20.9,293.804,62,8,1.21
ippy,6.26,298.429,53,20,2.81
raudeberg,61.99,267.64,54,0,4.6
bethel,60.79,272.15,92,90,7.7
holme,53.7,277.4,86,90,1
payo,-3.75,296.079,97,92,1.31
mahoba,25.29,289.379,51,0,1.16
ambon,47.55,279.15,93,88,4.6
upernavik,72.79,258.879,100,76,1.61
namibe,-15.19,296.979,100,0,3.76
havre,48.55,261.15,72,20,2.11
katsuura,33.93,275.329,90,24,3.76
chiredzi,-21.05,293.104,80,0,1.26
gizo,31.8,290.67,82,75,2.1
darhan,49.49,247.729,38,0,1.31
fortuna,38.18,289.15,48,20,5.1
sangar,63.92,240.404,41,0,1.46
shiraz,29.61,287.15,44,0,1.11
nazarovo,56.01,264.629,74,0,5.26
avare,-23.1,298.554,78,64,3.66
yellowknife,62.45,264.15,78,40,3.1
mogzon,51.74,243.554,28,0,1.26
fengxian,33.91,272.054,98,92,1.11
cabo san lucas,22.89,298.7,53,5,5.1
zaysan,47.47,259.104,63,56,1.36
sorata,-15.77,288.854,79,76,1.31
busselton,-33.64,292.454,100,24,4.31
half moon bay,37.46,289.07,55,1,2.6
thoen,17.61,292.254,78,0,0.96
birjand,32.86,284.15,34,0,2.1
salalah,17.01,297.15,60,0,1.5
juarez,-38.95,303.15,15,0,2.6
norman wells,65.28,255.15,77,20,3.1
velikiy ustyug,60.76,256.129,70,8,4.76
bunia,1.56,290.979,95,68,1.21
mahendranagar,28.02,286.129,80,0,0.61
ulety,51.36,243.554,28,0,1.26
saint george,39.45,284.15,87,20,2.6
geraldton,49.72,263.15,66,75,5.1
troitsko-pechorsk,62.71,255.104,64,64,3.46
kulhudhuffushi,6.62,301.254,100,48,1.51
mahibadhoo,3.78,301.329,100,36,2.96
berezovyy,51.67,252.104,55,0,2.56
antalaha,-14.9,297.704,100,100,3.31
shimoda,34.7,279.179,100,0,12.31
poronaysk,49.22,252.254,83,12,2.26
christchurch,-43.53,285.15,87,8,1.5
khanpur,28.65,292.104,60,0,1.21
yakeshi,49.28,246.004,46,20,2.11
adrian,41.9,279.15,48,90,3.41
gejiu,23.36,286.829,68,12,1.66
pasighat,28.06,284.204,100,92,0.76
sinnamary,5.38,300.104,95,88,5.26
clyde river,70.47,253.15,76,90,0.76
le port,42.87,264.129,85,0,0.76
amga,60.89,243.179,63,24,1.51
sohag,26.55,291.204,52,0,1.16
aysha,36.65,284.804,66,12,3.31
ajdabiya,30.75,295.754,27,0,5.96
mon,26.73,287.254,100,68,2.06
whitehorse,60.72,255.15,70,75,1.41
nurota,40.56,280.15,87,76,3.1
acapulco,16.86,301.15,74,40,3.1
abonnema,4.71,299.15,78,75,1.5
baiyin,36.55,276.15,37,0,6
gandai,21.67,293.254,43,0,3.11
teya,21.05,308.15,53,5,6.7
tahoua,14.89,297.829,35,0,2.56
ginir,7.14,285.879,92,12,1.81
moundou,8.57,298.004,59,24,1.61
yar-sale,66.83,264.629,90,92,9.51
shemonaikha,50.63,276.179,98,100,7.81
tautira,-17.73,303.15,70,20,2.6
auki,12.18,293.754,46,0,1.01
gashua,12.87,297.004,21,0,3.46
davila,18.47,298.179,100,32,10.56
beringovskiy,63.05,271.554,98,88,2.01
takoradi,4.89,300.179,100,0,3.21
hami,42.84,272.979,61,0,4.11
wattegama,7.35,291.954,91,48,1.26
abatskoye,56.29,270.754,100,80,13.26
andra,62.52,265.354,93,88,1.41
niamey,13.52,309.15,8,0,1.5
dingle,11,297.504,94,64,4.66
channel-port aux basques,47.57,274.854,83,24,11.76
mehamn,71.03,263.2,85,0,5.7
butaritari,3.07,301.229,100,76,5.86
phangnga,8.45,298.05,78,20,1.5
nianzishan,47.51,251.904,58,64,1.41
nikolskoye,59.7,263.15,56,0,3
gogapur,23.55,290.679,38,0,3.21
menongue,-14.66,292.079,79,44,1.16
sabzevar,36.21,280.429,84,20,2.96
aswan,24.09,302.15,13,0,1.5
brae,60.4,274.72,69,76,7.2
winsum,53.33,277.79,87,90,2.1
itarema,-2.92,300.329,82,92,5.11
wajima,37.4,274.679,100,0,6.21
dwarka,28.58,291.15,68,20,3.21
lorengau,-2.02,299.604,100,92,3.86
muhos,64.81,262.15,61,48,4.1
ponta do sol,-20.63,301.104,56,24,2.61
airai,-8.93,293.679,93,44,0.41
sept-iles,50.2,271.15,74,20,4.1
veshenskaya,49.63,259.479,76,32,3.06
bahua,25.85,290.929,49,0,2.46
kattivakkam,13.22,299.15,78,0,1.16
komsomolskiy,67.55,258.354,82,76,8.51
stepnyak,52.83,269.254,91,68,7.96
avarua,-21.21,301.15,69,75,3.6
chotila,22.42,293.479,30,0,2.41
northam,51.04,278.15,93,20,0.5
sao filipe,14.9,294.879,94,0,7.16
haimen,31.87,280.604,94,92,4.81
mandiana,10.62,300.879,25,8,3.21
wajid,3.81,300.879,42,0,4.36
nerchinskiy zavod,51.31,244.554,52,0,1.21
dawson creek,55.76,260.44,78,75,1
terrace,54.52,269.15,73,75,0.61
haines junction,60.75,258.229,76,12,1.11
kudahuvadhoo,2.67,300.129,100,64,2.81
port-gentil,-0.72,302.15,79,40,5.1
majene,-3.54,300.629,100,44,2.11
moroni,39.52,276.479,31,0,1.41
qingquan,24.58,290.44,82,75,8.2
marawi,8,291.679,100,24,0.61
buchanan,5.88,299.15,88,20,2.1
lander,42.83,273.46,29,1,2.6
coquimbo,-29.95,292.15,72,75,3.6
xuanhua,40.61,266.329,82,76,1.16
yuanping,38.72,269.004,85,48,1.21
sabalgarh,26.25,286.329,65,0,1.21
hohhot,40.81,275.15,74,75,4
adrar,27.87,297.15,22,12,2.1
